PLAYER_NAME;TEAM_ABBREVIATION;AGE;GP;W;L;MIN;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;PF;PTS;PLUS_MINUS;DD2;TD3;OFF_RATING;DEF_RATING;NET_RATING;AST_PCT;AST_TO;AST_RATIO;OREB_PCT;DREB_PCT;REB_PCT;TM_TOV_PCT;EFG_PCT;TS_PCT;USG_PCT;PACE;PIE;POSS;FGM_PG;FGA_PG;CONFIRMED
Karl-Anthony Towns;MIN;26.0;74;44;30;33.5;0.529;2.0;4.9;0.41;5.2;6.3;0.822;2.6;7.2;9.8;3.6;3.1;1.0;1.1;3.6;24.6;3.7;40;1;116.9;111.6;5.3;0.177;1.19;14.2;0.074;0.21;0.141;11.9;0.591;0.64;0.272;101.48;0.159;5232;8.7;16.4;1.0
Keifer Sykes;IND;28.0;32;6;26;17.7;0.363;0.8;2.8;0.3;0.5;0.5;0.882;0.3;1.2;1.4;1.9;1.0;0.4;0.1;1.6;5.6;-2.2;0;0;108.5;112.9;-4.5;0.162;1.88;21.3;0.014;0.069;0.04;11.3;0.434;0.456;0.174;98.86;0.039;1159;2.2;5.9;0.0
Keita Bates-Diop;SAS;26.0;59;23;36;16.2;0.517;0.3;0.9;0.309;0.8;1.0;0.754;1.1;2.9;3.9;0.7;0.8;0.5;0.2;1.0;5.7;0.1;1;0;107.0;106.2;0.8;0.059;0.91;10.9;0.061;0.163;0.112;12.0;0.549;0.578;0.144;102.27;0.092;2032;2.3;4.5;1.0
Kelan Martin;BOS;26.0;30;14;16;15.0;0.409;0.7;2.5;0.293;0.3;0.4;0.692;0.6;1.3;1.8;0.7;0.5;0.4;0.3;1.2;5.7;-1.8;0;0;102.4;108.6;-6.2;0.072;1.5;9.9;0.035;0.086;0.059;6.6;0.474;0.484;0.18;98.09;0.06;921;2.3;5.7;0.0
Keldon Johnson;SAS;22.0;75;33;42;31.9;0.466;2.1;5.3;0.398;2.4;3.1;0.756;1.1;5.0;6.1;2.1;1.2;0.8;0.2;2.0;17.0;1.0;6;0;113.2;111.1;2.1;0.091;1.72;11.6;0.031;0.148;0.089;6.8;0.545;0.574;0.21;101.51;0.102;5043;6.3;13.5;1.0
Keljin Blevins;POR;26.0;31;4;27;11.3;0.306;0.7;2.3;0.292;0.2;0.4;0.545;0.5;0.9;1.5;0.6;0.5;0.4;0.0;0.9;3.1;-6.7;0;0;97.1;124.9;-27.7;0.083;1.12;12.5;0.042;0.09;0.064;11.2;0.401;0.41;0.161;100.85;0.025;732;1.1;3.6;0.0
Kelly Olynyk;DET;31.0;40;13;27;19.1;0.448;1.0;3.0;0.336;1.7;2.2;0.775;1.4;3.1;4.4;2.8;1.5;0.8;0.5;2.5;9.1;-1.8;1;0;108.4;113.3;-4.9;0.214;1.91;22.6;0.067;0.17;0.116;11.8;0.517;0.561;0.207;101.76;0.105;1623;3.2;7.2;1.0
Kelly Oubre Jr.;CHA;26.0;76;39;37;26.3;0.44;2.5;7.3;0.345;1.7;2.5;0.667;1.0;2.9;4.0;1.1;0.9;1.0;0.4;2.5;15.0;-0.3;1;0;112.3;112.4;-0.2;0.063;1.25;7.2;0.036;0.106;0.071;5.8;0.542;0.56;0.223;101.87;0.086;4235;5.4;12.3;1.0
Kemba Walker;NYK;32.0;37;16;21;25.6;0.403;2.0;5.4;0.367;1.6;1.9;0.845;0.4;2.6;3.0;3.5;1.3;0.7;0.2;1.0;11.6;-4.9;1;1;105.4;114.5;-9.1;0.22;2.73;22.7;0.014;0.099;0.055;8.3;0.501;0.537;0.202;98.92;0.098;1951;4.0;10.0;0.0
Kenrich Williams;OKC;27.0;49;17;32;21.9;0.461;0.8;2.5;0.339;0.6;1.1;0.545;1.5;3.0;4.5;2.2;0.9;0.9;0.2;1.7;7.4;0.5;0;0;102.0;100.3;1.7;0.159;2.35;21.7;0.062;0.123;0.092;9.3;0.525;0.532;0.153;99.24;0.101;2211;3.0;6.5;1.0
Kent Bazemore;LAL;32.0;39;16;23;14.0;0.324;0.7;2.1;0.363;0.3;0.4;0.765;0.3;1.4;1.8;0.9;0.5;0.6;0.2;1.8;3.4;-3.0;0;0;99.8;108.7;-8.9;0.085;1.62;16.8;0.022;0.097;0.059;10.4;0.428;0.451;0.128;103.78;0.032;1171;1.2;3.6;0.0
Kentavious Caldwell-Pope;WAS;29.0;77;34;43;30.2;0.435;2.1;5.3;0.39;1.8;2.0;0.89;0.5;2.9;3.4;1.9;1.3;1.1;0.3;1.8;13.2;-3.0;2;0;109.1;113.8;-4.7;0.09;1.49;12.8;0.018;0.093;0.056;8.6;0.531;0.568;0.185;99.28;0.08;4816;4.7;10.8;1.0
Kenyon Martin Jr.;HOU;21.0;79;20;59;21.0;0.533;0.8;2.1;0.357;1.0;1.6;0.634;1.0;2.7;3.8;1.3;0.8;0.4;0.5;1.4;8.8;-3.0;2;0;108.5;115.4;-6.9;0.091;1.68;13.7;0.047;0.131;0.088;8.2;0.591;0.603;0.158;102.4;0.095;3536;3.5;6.6;1.0
Keon Johnson;POR;20.0;37;8;29;18.8;0.353;0.9;2.7;0.34;1.1;1.4;0.804;0.6;1.5;2.2;2.1;1.2;0.8;0.3;1.9;7.2;-7.8;0;0;100.8;119.8;-19.0;0.174;1.65;18.2;0.031;0.083;0.056;11.0;0.415;0.453;0.207;99.9;0.052;1444;2.6;7.4;1.0
Kessler Edwards;BKN;21.0;48;22;26;20.6;0.412;1.0;2.8;0.353;0.3;0.4;0.842;0.9;2.7;3.6;0.6;0.9;0.6;0.5;1.8;5.9;-1.3;1;0;112.2;115.5;-3.3;0.04;0.74;8.9;0.043;0.124;0.084;12.1;0.502;0.516;0.132;100.72;0.051;2075;2.3;5.6;1.0
Kevin Durant;BKN;33.0;55;36;19;37.2;0.518;2.1;5.5;0.383;6.8;7.4;0.91;0.5;6.9;7.4;6.4;3.5;0.9;0.9;2.1;29.9;4.9;18;4;116.2;109.7;6.5;0.274;1.84;19.1;0.015;0.166;0.097;10.4;0.57;0.634;0.31;101.17;0.18;4311;10.5;20.3;1.0
Kevin Huerter;ATL;23.0;74;40;34;29.6;0.454;2.2;5.6;0.389;0.6;0.7;0.808;0.4;3.0;3.4;2.7;1.2;0.7;0.4;2.5;12.1;2.3;1;0;116.4;112.5;3.8;0.125;2.23;18.9;0.014;0.098;0.056;8.5;0.559;0.57;0.169;100.31;0.072;4570;4.7;10.3;1.0
Kevin Knox II;ATL;22.0;30;18;12;7.4;0.365;0.5;1.8;0.278;0.5;0.7;0.727;0.5;1.0;1.5;0.3;0.2;0.1;0.1;0.6;3.1;-2.3;0;0;98.5;113.7;-15.1;0.077;1.43;8.8;0.055;0.127;0.09;6.2;0.453;0.491;0.187;102.91;0.067;478;1.0;2.8;1.0
Kevin Love;CLE;33.0;74;38;36;22.5;0.43;2.5;6.4;0.392;2.2;2.7;0.838;1.2;6.1;7.2;2.2;1.3;0.4;0.2;1.4;13.6;1.3;15;0;108.9;107.4;1.5;0.153;1.63;14.5;0.051;0.258;0.155;8.9;0.553;0.594;0.239;99.97;0.152;3487;4.4;10.3;1.0
Kevin Pangos;CLE;29.0;24;16;8;6.9;0.326;0.3;1.1;0.231;0.1;0.2;0.75;0.1;0.4;0.5;1.3;0.3;0.1;0.0;0.5;1.6;-1.5;0;0;104.9;117.1;-12.1;0.246;4.29;35.3;0.012;0.057;0.035;8.2;0.391;0.408;0.143;99.17;0.046;346;0.6;1.9;0.0
Kevin Porter Jr.;HOU;22.0;61;16;45;31.3;0.415;2.5;6.8;0.375;2.0;3.2;0.642;0.7;3.7;4.4;6.2;3.1;1.1;0.4;2.6;15.6;-4.6;10;1;108.3;114.9;-6.7;0.302;1.96;25.8;0.022;0.111;0.067;13.2;0.511;0.531;0.239;101.99;0.096;4048;5.5;13.2;1.0
Kevon Looney;GSW;26.0;82;53;29;21.1;0.571;0.0;0.0;0.0;0.9;1.5;0.6;2.5;4.7;7.3;2.0;0.8;0.6;0.6;2.6;6.0;2.0;5;0;113.2;107.2;6.0;0.127;2.46;25.2;0.12;0.21;0.166;10.2;0.571;0.586;0.12;99.65;0.102;3574;2.5;4.4;1.0
Khem Birch;TOR;29.0;55;34;21;18.0;0.485;0.0;0.3;0.0;1.0;1.3;0.746;2.2;2.1;4.3;1.0;0.5;0.5;0.5;1.9;4.5;0.4;0;0;112.3;112.4;-0.1;0.074;1.93;17.7;0.112;0.128;0.12;9.2;0.485;0.534;0.108;97.39;0.068;2021;1.8;3.6;1.0
